,Number_offenses,Code,Code_Desc,Date,Time,Address,City,State,Zip,Code_Cat_abbrv,Crime Category,Crime Name,Address_numbers,Street_name
303240,1.0,SUSP-1,SUSPICIOUS - EVENT,2021-04-27,30.0,5800 EDGEHILL DR,ALEXANDRIA,VA,22303.0,SUSP,SUSPICIOUS,EVENT,5800.0,EDGEHILL DR
304290,1.0,SERV-1,SERVICE - POLICE SERVICE,2021-04-22,1234.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,POLICE SERVICE,2800.0,FAIRHAVEN AVE
305418,2.0,SERV-999,POLICE PHONE REPORT,2021-04-17,2115.0, FORT DR / MONTICELLO RD,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,, FORT DR / MONTICELLO RD
305419,1.0,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2021-04-17,2115.0, FORT DR / MONTICELLO RD,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,ANIMAL BITE - DOMESTIC,, FORT DR / MONTICELLO RD
306470,1.0,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2021-04-13,1118.0,2700 JEFFERSON DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,LICENSE VIOLATION,2700.0,JEFFERSON DR
306471,2.0,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2021-04-13,1118.0,2700 JEFFERSON DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,RUNNING AT LARGE/UNRESTRICTED,2700.0,JEFFERSON DR
306499,1.0,SERV-11,SERVICE - NATURAL DEATH,2021-04-13,2205.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,NATURAL DEATH,2800.0,FAIRHAVEN AVE
307129,1.0,ASSLT-13A-1,ASSAULT - AGGRAVATED,2021-04-10,2307.0,5800 EDGEHILL DR,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,AGGRAVATED,5800.0,EDGEHILL DR
307137,2.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-04-10,2307.0,5800 EDGEHILL DR,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",5800.0,EDGEHILL DR
307166,1.0,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-04-10,1526.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,DOMESTIC DISPUTE,2800.0,FAIRHAVEN AVE
307415,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-04-09,1842.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",2800.0,FAIRHAVEN AVE
308273,1.0,AUTO-240-4,AUTO THEFT - AUTOS,2021-04-05,1910.0,5800 EDGEHILL DR,ALEXANDRIA,VA,22303.0,AUTO,AUTO THEFT,AUTOS,5800.0,EDGEHILL DR
308274,2.0,SERV-999,POLICE PHONE REPORT,2021-04-05,1910.0,5800 EDGEHILL DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,5800.0,EDGEHILL DR
308955,1.0,SUSP-2,SUSPICIOUS - PERSON,2021-04-02,137.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SUSP,SUSPICIOUS,PERSON,2800.0,FAIRHAVEN AVE
309220,2.0,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2021-04-01,1018.0,2700 FARMINGTON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,ANIMAL DESTROYED BY CHEMICAL,2700.0,FARMINGTON DR
309221,1.0,ANML-4,ANIMAL - SERVICE - WILD,2021-04-01,1018.0,2700 FARMINGTON DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,SERVICE - WILD,2700.0,FARMINGTON DR
309599,1.0,WARR-90Z-1,ORDER - VIOLATE EPO/PO/PPO,2021-03-30,1923.0,5900 EDGEHILL CT,ALEXANDRIA,VA,22303.0,WARR,WARRANT,VIOLATE EPO/PO/PPO,5900.0,EDGEHILL CT
309701,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-03-30,100.0,5900 EDGEHILL CT,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",5900.0,EDGEHILL CT
313049,1.0,ASSLT-13C-1,ASSAULT - INTIMIDATION,2021-03-15,1704.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,INTIMIDATION,2800.0,FAIRHAVEN AVE
315294,1.0,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,2021-03-05,1725.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,TELEPHONE THREATS/ABUSE/OBSCENE,2800.0,FAIRHAVEN AVE
316069,1.0,BURG-220-3,BURGLARY/BREAKING AND ENTERING,2021-03-02,1600.0,2900 FARMINGTON DR,ALEXANDRIA,VA,22303.0,BURG,BURGLARY/BREAKING AND ENTERING,,2900.0,FARMINGTON DR
316070,2.0,SERV-999,POLICE PHONE REPORT,2021-03-02,1600.0,2900 FARMINGTON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,2900.0,FARMINGTON DR
317880,1.0,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-02-22,2125.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,DOMESTIC DISPUTE,2800.0,FAIRHAVEN AVE
319256,1.0,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2021-02-15,2000.0,5900 EDGEHILL DR,ALEXANDRIA,VA,22303.0,LARC,LARCENY,THEFT FROM MOTOR VEHICLE,5900.0,EDGEHILL DR
319257,2.0,SERV-999,POLICE PHONE REPORT,2021-02-15,2000.0,5900 EDGEHILL DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,5900.0,EDGEHILL DR
319556,1.0,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2021-02-13,422.0,5900 WILLIAMSBURG RD,ALEXANDRIA,VA,22303.0,TRES,TRESPASSING,PRIVATE PROPERTY,5900.0,WILLIAMSBURG RD
